"Date","Price","Open","High","Low","Vol.","Change %"
"04/27/1999","0.41","0.38","0.41","0.38","2.11B","10.81%"
"04/26/1999","0.37","0.35","0.37","0.35","927.93M","5.71%"
"04/23/1999","0.35","0.32","0.35","0.32","1.05B","9.38%"
"04/22/1999","0.32","0.31","0.33","0.31","740.18M","3.23%"
"04/21/1999","0.31","0.30","0.31","0.30","351.40M","3.33%"
"04/20/1999","0.30","0.30","0.31","0.30","523.86M","0.00%"
"04/19/1999","0.30","0.32","0.32","0.30","921.82M","-6.25%"
"04/16/1999","0.32","0.32","0.32","0.31","502.22M","0.00%"
"04/15/1999","0.32","0.32","0.32","0.31","1.73B","0.00%"
"04/14/1999","0.32","0.31","0.33","0.31","681.03M","3.23%"
"04/13/1999","0.31","0.32","0.33","0.31","412.38M","-3.12%"
"04/12/1999","0.32","0.31","0.33","0.31","395.82M","-3.03%"
"04/09/1999","0.33","0.32","0.33","0.32","268.54M","0.00%"
"04/08/1999","0.33","0.33","0.33","0.32","296.41M","0.00%"
"04/07/1999","0.33","0.34","0.34","0.32","411.81M","-2.94%"
"04/06/1999","0.34","0.33","0.34","0.33","628.59M","3.03%"
"04/05/1999","0.33","0.32","0.34","0.32","460.94M","3.13%"
"04/01/1999","0.32","0.32","0.33","0.32","262.06M","0.00%"
"03/31/1999","0.32","0.32","0.33","0.32","422.35M","0.00%"
"03/30/1999","0.32","0.31","0.32","0.31","554.52M","0.00%"
"03/29/1999","0.32","0.30","0.32","0.30","568.87M","6.67%"
"03/26/1999","0.30","0.30","0.30","0.29","253.84M","0.00%"
"03/25/1999","0.30","0.31","0.31","0.30","399.96M","0.00%"
"03/24/1999","0.30","0.30","0.30","0.29","400.15M","3.45%"
"03/23/1999","0.29","0.31","0.31","0.29","415.55M","-6.45%"
"03/22/1999","0.31","0.30","0.31","0.29","593.61M","3.33%"
"03/19/1999","0.30","0.32","0.32","0.29","536.50M","-6.25%"
"03/18/1999","0.32","0.31","0.32","0.31","227.08M","6.67%"
"03/17/1999","0.30","0.32","0.32","0.30","366.32M","-6.25%"
"03/16/1999","0.32","0.31","0.32","0.31","399.83M","6.67%"
"03/15/1999","0.30","0.30","0.31","0.30","352.16M","0.00%"
"03/12/1999","0.30","0.29","0.30","0.29","271.40M","3.45%"
"03/11/1999","0.29","0.29","0.30","0.29","473.66M","0.00%"
"03/10/1999","0.29","0.31","0.31","0.29","546.28M","-3.33%"
"03/09/1999","0.30","0.31","0.31","0.30","319.69M","-3.23%"
"03/08/1999","0.31","0.30","0.31","0.30","550.67M","3.33%"
"03/05/1999","0.30","0.31","0.31","0.29","468.04M","0.00%"
"03/04/1999","0.30","0.31","0.31","0.29","367.27M","-3.23%"
"03/03/1999","0.31","0.31","0.31","0.30","293.35M","0.00%"
"03/02/1999","0.31","0.30","0.32","0.30","683.07M","3.33%"
"03/01/1999","0.30","0.31","0.31","0.30","487.83M","-3.23%"
"02/26/1999","0.31","0.33","0.33","0.31","667.25M","-6.06%"
"02/25/1999","0.33","0.33","0.34","0.33","264.60M","0.00%"
"02/24/1999","0.33","0.35","0.35","0.33","212.76M","-2.94%"
"02/23/1999","0.34","0.34","0.35","0.34","322.18M","0.00%"
"02/22/1999","0.34","0.33","0.35","0.33","298.67M","3.03%"
"02/19/1999","0.33","0.32","0.34","0.32","361.69M","3.13%"
"02/18/1999","0.32","0.34","0.34","0.32","500.17M","-3.03%"
"02/17/1999","0.33","0.34","0.35","0.33","296.06M","-2.94%"
"02/16/1999","0.34","0.35","0.35","0.34","300.23M","0.00%"
"02/12/1999","0.34","0.35","0.35","0.33","428.90M","-2.86%"
"02/11/1999","0.35","0.35","0.35","0.34","565.20M","2.94%"
"02/10/1999","0.34","0.33","0.35","0.32","563.63M","3.03%"
"02/09/1999","0.33","0.34","0.35","0.33","701.15M","-2.94%"
"02/08/1999","0.34","0.33","0.34","0.32","468.23M","6.25%"
"02/05/1999","0.32","0.34","0.34","0.32","777.20M","-5.88%"
